L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
9,7,2,1.0,10.0,0.7931615502524884,2304,36,0.46284330474687585,1.7136718671695166
9,7,2,2.0,10.0,0.7234949201070866,2304,36,0.46284330474687585,1.5631530426971574
9,7,2,3.0,10.0,0.6006404599280584,2304,36,0.46284330474687585,1.2977188041135053
9,7,2,4.0,10.0,0.49411635600032006,2304,36,0.46284330474687585,1.067567254257998
9,7,2,5.0,10.0,0.40863458915825335,2304,36,0.46284330474687585,0.8828789030052651
9,7,2,6.0,10.0,0.35670318536959167,2304,36,0.46284330474687585,0.7706780711987805
9,7,2,7.0,10.0,0.31554989986997667,2304,36,0.46284330474687585,0.6817639936318137
9,7,2,8.0,10.0,0.2858715236907733,2304,36,0.46284330474687585,0.6176421280353476
9,7,2,9.0,10.0,0.2666223113556733,2304,36,0.46284330474687585,0.576053080213586
9,7,2,10.0,10.0,0.252139702023565,2304,36,0.46284330474687585,0.5447625566528559
9,7,2,11.0,10.0,0.23757788791263668,2304,36,0.46284330474687585,0.513300906540207
9,7,2,12.0,10.0,0.236861209724665,2304,36,0.46284330474687585,0.5117524814455335
9,7,2,13.0,10.0,0.22829392518438169,2304,36,0.46284330474687585,0.4932423626808931
9,7,2,14.0,10.0,0.22195574623284164,2304,36,0.46284330474687585,0.47954835676887864
9,7,2,15.0,10.0,0.21097877164610834,2304,36,0.46284330474687585,0.45583196188068537
9,8,2,1.0,10.0,0.7501186201603649,2907,9,0.27551830639319824,2.7225727029907554
9,8,2,2.0,10.0,0.6770256639707399,2907,9,0.27551830639319824,2.4572801453147064
9,8,2,3.0,10.0,0.5771136057699817,2907,9,0.27551830639319824,2.094647042967701
9,8,2,4.0,10.0,0.4848374437483233,2907,9,0.27551830639319824,1.7597286005975992
9,8,2,5.0,10.0,0.416023697815935,2907,9,0.27551830639319824,1.5099675345064674
9,8,2,6.0,10.0,0.3657165118660717,2907,9,0.27551830639319824,1.3273764515093585
9,8,2,7.0,10.0,0.32762306216370496,2907,9,0.27551830639319824,1.1891154038096723
9,8,2,8.0,10.0,0.2995461731746083,2907,9,0.27551830639319824,1.0872096925099393
9,8,2,9.0,10.0,0.280930980867955,2907,9,0.27551830639319824,1.0196454259087677
